date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013-07-15,13378945.11,3638,55861000,2.98,0,26900,69.38059214
2013-07-16,4425032.535,4141,58400000,3.1,0,31500,80.64193798
2013-07-17,4461456.818,4660,59995800,3.15,0,31850,73.36893048
2013-07-18,4210022.928,4354,61435200,2.89,0,31800,55.79079482
2013-07-19,4039863.945,4115,56367600,2.96,0,29100,76.68168019
2013-07-20,4014163.247,3663,58032500,2.86,0,27500,58.10869314
2013-07-21,4499809.244,4401,56298200,2.92,0,26700,89.58567628
2013-07-22,3986628.721,3257,57698700,2.89,0,26150,52.75100881
2013-07-23,3725422.143,3893,56792800,2.99,0,27550,80.61410776
2013-07-24,3367801.667,3754,58868500,2.94,0,29800,70.29045471
2013-07-25,4165660.112,3887,58178300,2.97,0,30400,58.18107022
2013-07-26,3569183.455,3583,58943000,2.9,0,28300,55.10121141
2013-07-27,3621246.774,3501,57328700,2.88,0,29450,38.35048226
2013-07-28,2921751.953,3236,57167200,2.98,0,27700,39.17878436
2013-07-29,4543926.384,3402,58407100,2.96,0,27850,42.80406392
2013-07-30,2923579.523,3503,59070500,2.99,0,27350,46.17458216
2013-07-31,4715181.777,3905,59718400,2.87,0,28750,59.52910356
2013-08-01,3664091.362,3527,57264600,2.91,0,24550,65.22012839
2013-08-02,3711909.937,3792,58698900,2.84,0,25950,51.94669151
2013-08-03,3238092.806,3631,56787100,2.96,0,27600,52.36000016
2013-08-04,3718622.258,3698,60240700,3.01,0,28500,43.82237039
2013-08-05,2981458.401,3886,60085300,2.83,0,27750,66.30966177
2013-08-06,4033157.807,4535,57073600,2.82,0,32700,85.55254262
2013-08-07,3409936.057,3561,56705800,2.76,0,29150,55.88647804
2013-08-08,3904669.54,4385,55423400,2.7,0,30500,79.11890062
2013-08-09,5218886.37,3932,54639500,2.68,0,28900,62.73917119
2013-08-10,1670269.654,3649,54201200,2.56,0,29650,61.67711311
2013-08-11,1256037.977,3924,51564700,2.69,0,26100,96.93737535
2013-08-12,898292.0682,3526,54534200,2.65,0,28550,38.29508554
2013-08-13,1140584.983,3585,53831200,2.74,0,30800,30.90630501
2013-08-14,728614.6488,3757,56028000,2.73,0,30550,43.44187279
2013-08-15,899195.0225,3439,55615700,2.76,0,30950,47.04429354
2013-08-16,1992878.816,4418,56243000,2.72,0,30250,65.36476337
2013-08-17,838969.8741,3237,55404000,2.82,0,27350,39.03485153
2013-08-18,3887035.726,3252,57183000,2.8,0,27350,32.43420486
2013-08-19,882594.4619,3242,57253600,2.82,0,27000,31.27157518
2013-08-20,803233.6641,3888,57817600,2.78,0,29450,47.8305396
2013-08-21,662404.9239,4099,56892500,2.7,0,30650,74.30567938
2013-08-22,1487779.583,4634,55332200,2.75,0,32500,55.4971912
2013-08-23,757137.8084,4011,57221800,2.72,0,35050,33.59618566
2013-08-24,1006181.797,4010,56421100,2.69,0,28450,35.55258436
2013-08-25,1188944.517,4175,55274700,2.59,0,30750,60.27513311
2013-08-26,1055359.918,3961,53225200,2.57,0,25700,65.85871194
2013-08-27,880117.2674,3613,53123200,2.57,0,27600,69.90371385
2013-08-28,733130.6349,3815,53333500,2.52,0,25600,64.55793173
2013-08-29,1192042.711,3996,52612100,2.55,0,27300,49.13808723
2013-08-30,681937.5347,3748,52649500,2.66,0,30550,34.81204444
2013-08-31,720536.81,3919,55259800,2.58,0,32750,42.32176589
2013-09-01,725594.1759,3982,53981600,2.58,0,34900,35.04436966
2013-09-02,702783.793,3733,53667700,2.56,0,33900,37.59021039
2013-09-03,624372.5522,3332,53347900,2.6,0,22900,33.62849804
2013-09-04,601004.5625,3264,54374100,2.81,0,24800,38.07043341
2013-09-05,1449312.637,3761,58978900,2.75,0,22400,43.37309437
2013-09-06,987707.8633,3862,58296100,2.69,0,28100,53.81679147
2013-09-07,1241708.842,4120,56314500,2.71,0,36500,38.9955964
2013-09-08,1237550.719,4072,56907400,2.73,0,34750,46.60562763
2013-09-09,796047.7701,3817,57564700,2.73,0,31550,33.55707454
2013-09-10,958415.1612,2711,57610700,2.64,0,23450,29.33560599
2013-09-11,816987.513,2682,55825700,2.72,0,23100,29.98605638
2013-09-12,657482.7245,2434,58116300,2.7,0,24100,27.08675788
2013-09-13,760867.5061,2733,56941900,2.67,0,28200,30.5963935
2013-09-14,603598.3077,2662,56435100,2.54,0,27450,150.4627199
2013-09-15,916980.2971,2726,54890100,2.64,0,33100,35.01397511
2013-09-16,1035853.381,2856,56288200,2.63,0,33050,29.52797126
2013-09-17,746484.8802,2821,56009200,2.6,0,29400,29.51292714
2013-09-18,676013.0567,2598,55497300,2.56,0,31000,24.51454937
2013-09-19,1063015.942,2753,54423900,2.62,0,30100,27.99413291
2013-09-20,475929.373,2668,55805000,2.48,0,31300,28.38354067
2013-09-21,866210.7816,2504,53085600,2.51,0,27000,32.38663932
2013-09-22,444575.8572,2333,54142400,2.53,0,27050,23.8262236
2013-09-23,524725.6039,2456,54240500,2.47,0,27100,33.51585576
2013-09-24,1361933.534,3439,53139300,2.47,0,31750,56.10025213
2013-09-25,1470381.275,3057,53168400,2.37,0,28700,40.31229986
2013-09-26,1343604.208,2862,51028000,2.39,0,32500,38.09572492
2013-09-27,887114.7433,2985,51857200,2.4,0,29800,37.90271155
2013-09-28,883715.1813,2645,51699800,2.25,0,27200,29.24604993
2013-09-29,1659941.583,3343,49047900,2.3,0,26850,48.6546488
2013-09-30,909034.4522,2933,49805700,2.35,0,25300,49.40881365
2013-10-01,920882.7463,2786,50834400,2.42,0,27350,30.21548568
2013-10-02,474942.0909,2758,52580700,1.97,0,27600,34.96010317
2013-10-03,1139657.021,3375,43020500,2.17,0,29350,55.08578786
2013-10-04,1559274.657,3663,47418000,2.2,0,29050,104.4468575
2013-10-05,731684.8289,3302,47805900,2.15,0,29900,71.76873157
2013-10-06,573916.4696,3340,46586200,2.17,0,25800,119.8507697
2013-10-07,629079.0006,4316,47545900,2.1,0,29700,154.0770634
2013-10-08,574170.3581,2727,45870300,1.98,0,28450,34.36458091
2013-10-09,607377.8027,3220,43429000,1.92,0,29150,43.22051903
2013-10-10,913760.4171,3094,42394000,2.03,0,27100,43.18186655
2013-10-11,1438079.138,3528,44514200,2.07,0,27050,53.51045025
2013-10-12,1066657.412,3575,45513300,2.12,0,28100,60.10790748
2013-10-13,482499.2256,2478,46766600,2.13,0,27150,24.98307749
2013-10-14,960919.3217,2686,47411600,2.05,0,30100,24.22220422
2013-10-15,711673.148,2966,45406100,1.96,0,29000,33.99832439
2013-10-16,542354.5475,2990,43632900,1.92,0,31800,44.57307344
2013-10-17,788513.0818,3434,42467400,1.91,0,30250,67.64574232
2013-10-18,577957.0979,2378,42499100,1.9,0,26700,45.86590204
2013-10-19,524720.0498,2770,42318300,1.88,0,29450,47.106655
2013-10-20,1159838.576,2907,41580100,1.93,0,31350,79.61788589
2013-10-21,494119.4588,2728,43015300,1.82,0,28550,44.83607169
2013-10-22,883353.0128,2749,40604700,1.7,0,27050,60.76251496
2013-10-23,1750223.164,3166,37943700,2.05,0,27200,83.87421777
2013-10-24,1352660.162,2779,45984300,2.27,0,26800,45.1183446
2013-10-25,3222137.612,3298,51325700,2.18,0,28450,45.20989317
2013-10-26,2033556.334,3880,48443500,2.21,0,33950,44.10183224
2013-10-27,675904.8691,2721,49469600,2.13,0,29950,31.18180358
2013-10-28,648215.1855,2811,47813500,2.18,0,35650,26.71738699
2013-10-29,990072.9613,2687,48894400,2.13,0,29450,32.96485473
2013-10-30,734157.3049,2515,47999300,2.29,0,28250,29.42373334
2013-10-31,1576517.859,2598,51405800,2.36,0,25600,35.16104638
2013-11-01,942296.2677,2919,52967400,2.45,0,25250,31.19589545
2013-11-02,1188344.276,3935,55624300,2.7,0,28000,44.5835575
2013-11-03,854052.5253,3294,61520100,2.88,0,26900,39.20061917
2013-11-04,3283121.115,5312,65752700,3.08,0,28900,83.26556785
2013-11-05,2792437.253,5978,69993500,3.04,0,31450,79.68429224
2013-11-06,2795267.213,4737,69168900,3.39,0,29800,64.10434708
2013-11-07,3897332.179,4592,76482000,4.39,0,29300,54.63821178
2013-11-08,8739844.947,7077,99797700,4.61,0,30150,165.8065954
2013-11-09,5239422.162,6594,105183000,4.22,0,31100,148.2449256
