timestamp,open,high,low,close,volumne_BTC,volumne_currency,wtd_price
12/4/2014 0:00,376.61,377.6,375.61,377.6,61.08,22996.82,376.53
12/4/2014 1:00,377.59,377.98,376.5,377.54,121.51,45852.52,377.34
12/4/2014 2:00,377.48,377.96,376.74,377.96,149.78,56561.83,377.64
12/4/2014 3:00,377.95,377.96,376.61,377.63,102.14,38578.31,377.68
12/4/2014 4:00,377.57,378.99,377.29,378.99,566.42,214181.67,378.13
12/4/2014 5:00,378.98,378.99,378.21,378.21,86.62,32815.68,378.84
12/4/2014 6:00,378.83,378.99,377.24,378.09,48.67,18414.7,378.4
12/4/2014 7:00,378.95,378.99,376.5,376.53,162.96,61496.6,377.36
12/4/2014 8:00,377.85,378.84,376.53,377.47,157,59276.92,377.57
12/4/2014 9:00,377.3,377.3,376.5,376.79,139.39,52515.71,376.74
12/4/2014 10:00,376.72,376.74,374.01,376,362.24,135742.09,374.73
12/4/2014 11:00,375.05,376,360,366.98,5433.47,1981657.67,364.71
12/4/2014 12:00,366.97,370.99,365.01,370.99,631.05,232828.95,368.95
12/4/2014 13:00,371,371.97,370.06,371.97,256.7,95343.66,371.41
12/4/2014 14:00,371.97,373.56,370.04,371.03,187.66,69846.34,372.19
12/4/2014 15:00,371.38,371.7,365,369.8,1128.64,415657.33,368.28
12/4/2014 16:00,369.8,371.77,368.33,371.21,308.94,114504.05,370.63
12/4/2014 17:00,370.42,371.67,369.98,371.62,204.39,75900.56,371.36
12/4/2014 18:00,371.62,372.29,370.92,372.02,278.02,103350.17,371.74
12/4/2014 19:00,371.41,372.11,369.8,371.79,75.69,28101.1,371.26
12/4/2014 20:00,371.75,373.99,370.13,373.91,410.22,152988.69,372.94
12/4/2014 21:00,373.91,373.98,372.24,373.08,108.28,40401.41,373.14
12/4/2014 22:00,373.06,373.08,367.22,368.57,455.12,168339.67,369.88
12/4/2014 23:00,369.85,370.62,363.99,369.16,896.87,329086.41,366.93
12/5/2014 0:00,369.89,369.89,365.61,366.94,144.74,53254.16,367.92
12/5/2014 1:00,366.82,367.03,365.77,366.92,110.19,40419.18,366.8
12/5/2014 2:00,366.88,367.22,366.27,367.22,216.41,79388.31,366.83
12/5/2014 3:00,367.24,368.11,367.22,368.11,103.76,38187.18,368.03
12/5/2014 4:00,368.1,369.5,367.56,368.7,209.6,77264.54,368.62
12/5/2014 5:00,368.71,370.4,368.7,369.06,247.89,91563.31,369.37
12/5/2014 6:00,370.3,370.96,365.72,367.78,263.49,97056.26,368.34
12/5/2014 7:00,367.78,370.66,367.77,368.68,110.62,40843.13,369.22
12/5/2014 8:00,369.94,373.99,368.68,372.55,735.69,273958.6,372.39
12/5/2014 9:00,373.81,374.2,371.33,373.99,275.33,102775.66,373.28
12/5/2014 10:00,373.76,374.13,369.99,370.98,646.16,240118.73,371.61
12/5/2014 11:00,370.98,371,369.5,371,566.5,209660.29,370.09
12/5/2014 12:00,370.99,371.69,369,371.35,422.9,156465.34,369.98
12/5/2014 13:00,370.5,371.79,369.6,370.65,311.19,115569.23,371.38
12/5/2014 14:00,370.65,373,370.55,373,458.78,170824.04,372.34
12/5/2014 15:00,373,373.99,372.5,372.8,209.54,78215.91,373.27
12/5/2014 16:00,373.81,373.99,372.5,372.99,192.04,71706.34,373.39
12/5/2014 17:00,372.99,373.99,372.1,373.49,303.23,113262.22,373.52
12/5/2014 18:00,372.99,374,372.61,373.97,227.32,84980.04,373.84
12/5/2014 19:00,373.96,375,372.77,374.99,1025.54,383990.09,374.43
12/5/2014 20:00,374.73,376,372.65,376,499.23,187142.35,374.86
12/5/2014 21:00,375.2,377.89,375.17,377.77,509.56,191878.02,376.55
12/5/2014 22:00,377.77,377.89,374.24,376.74,629.48,236504.23,375.71
12/5/2014 23:00,376.74,376.85,373.57,376,181.29,68085.75,375.56
12/6/2014 0:00,376,376.62,375.38,376.23,75.36,28336.17,376
12/6/2014 1:00,376.22,376.77,374.9,375.02,127.54,47923.55,375.76
12/6/2014 2:00,375.45,376.6,373.66,375.53,78.06,29242.07,374.61
12/6/2014 3:00,376.57,376.57,373,373,138.12,51682.62,374.17
