"rank","dtm","ticker","marketcap"
740,"10/7/2017","CACH","73908"
741,"10/7/2017","BTCR","73527"
742,"10/7/2017","GTC","73202"
743,"10/7/2017","ANTI","72721"
744,"10/7/2017","GCC","70387"
745,"10/7/2017","GPU","69848"
746,"10/7/2017","IMS","69085"
747,"10/7/2017","CAT","68642"
748,"10/7/2017","XBTC21","68455"
749,"10/7/2017","KURT","67720"
750,"10/7/2017","MARS","65994"
751,"10/7/2017","RED","64258"
752,"10/7/2017","EUC","64164"
753,"10/7/2017","RBT","63952"
754,"10/7/2017","SPACE","63886"
755,"10/7/2017","ADCN","63798"
756,"10/7/2017","SLING","62892"
757,"10/7/2017","ZNY","62313"
758,"10/7/2017","SPT","62012"
759,"10/7/2017","STV","61596"
760,"10/7/2017","300","61435"
761,"10/7/2017","CRX","61004"
762,"10/7/2017","AMMO","60722"
763,"10/7/2017","PRC","60666"
764,"10/7/2017","GAP","60520"
765,"10/7/2017","VEC2","60358"
766,"10/7/2017","DIBC","60280"
767,"10/7/2017","HAL","60258"
768,"10/7/2017","DBTC","59852"
769,"10/7/2017","DRM","59822"
770,"10/7/2017","BUMBA","58997"
771,"10/7/2017","NRO","58492"
772,"10/7/2017","URC","57582"
773,"10/7/2017","ICOB","57102"
774,"10/7/2017","AGLC","56487"
775,"10/7/2017","CORG","55453"
776,"10/7/2017","SCRT","54862"
777,"10/7/2017","4CHN","53639"
778,"10/7/2017","URO","52993"
779,"10/7/2017","PONZI","52288"
780,"10/7/2017","SOIL","51994"
781,"10/7/2017","ISL","51341"
782,"10/7/2017","SRC","51012"
783,"10/7/2017","QTL","50643"
784,"10/7/2017","HXX","49912"
785,"10/7/2017","611","48976"
786,"10/7/2017","BLRY","48740"
787,"10/7/2017","ALL","47592"
788,"10/7/2017","UNIBURST","47119"
789,"10/7/2017","WARP","46268"
790,"10/7/2017","RPC","45271"
791,"10/7/2017","CESC","43752"
792,"10/7/2017","MEOW","42306"
793,"10/7/2017","ASAFE2","41503"
794,"10/7/2017","JWL","41141"
795,"10/7/2017","$$$","39915"
796,"10/7/2017","MAR","39810"
797,"10/7/2017","ARB","39483"
798,"10/7/2017","PHS","38352"
799,"10/7/2017","QBK","38066"
800,"10/7/2017","GPL","38051"
801,"10/7/2017","BENJI","37716"
802,"10/7/2017","MND","37549"
803,"10/7/2017","CXT","37355"
804,"10/7/2017","PULSE","37211"
805,"10/7/2017","JOBS","36787"
806,"10/7/2017","ZYD","36289"
807,"10/7/2017","FLVR","36256"
808,"10/7/2017","BIOS","36124"
809,"10/7/2017","BRAIN","35785"
810,"10/7/2017","CTO","35783"
811,"10/7/2017","TAJ","34854"
812,"10/7/2017","DES","34559"
813,"10/7/2017","CMT","33700"
814,"10/7/2017","G3N","33097"
815,"10/7/2017","GBC","32950"
816,"10/7/2017","ATX","32586"
817,"10/7/2017","SOON","31887"
818,"10/7/2017","TAGR","31867"
819,"10/7/2017","STEPS","31505"
820,"10/7/2017","POP","30804"
821,"10/7/2017","HKG","30746"
822,"10/7/2017","COAL","30441"
823,"10/7/2017","PHO","30374"
824,"10/7/2017","TRADE","29828"
825,"10/7/2017","XCRE","29365"
826,"10/7/2017","CAB","29147"
827,"10/7/2017","TOR","28918"
828,"10/7/2017","MILO","27869"
829,"10/7/2017","KNC","27854"
830,"10/7/2017","GBT","27667"
831,"10/7/2017","BSTAR","27359"
832,"10/7/2017","LEA","26269"
833,"10/7/2017","ZMC","26039"
834,"10/7/2017","ICON","25895"
835,"10/7/2017","CPN","25518"
836,"10/7/2017","VIP","25336"
837,"10/7/2017","REV","25076"
838,"10/7/2017","PRX","24408"
839,"10/7/2017","DPAY","24149"
840,"10/7/2017","BVC","24122"
841,"10/7/2017","IMX","23749"
842,"10/7/2017","LUNA","22079"
843,"10/7/2017","RIDE","21963"
844,"10/7/2017","SH","21931"
845,"10/7/2017","XBTS","21026"
846,"10/7/2017","BLZ","20688"
847,"10/7/2017","ORLY","20663"
848,"10/7/2017","BTQ","20173"
849,"10/7/2017","FUZZ","19432"
850,"10/7/2017","SONG","19410"
851,"10/7/2017","IMPS","19318"
852,"10/7/2017","SLEVIN","18217"
853,"10/7/2017","XOC","18217"
854,"10/7/2017","IBANK","17669"
855,"10/7/2017","SOCC","17599"
856,"10/7/2017","MTLMC3","17288"
857,"10/7/2017","DLISK","17169"
858,"10/7/2017","1CR","17112"
859,"10/7/2017","CASH","16548"
860,"10/7/2017","CRT","16503"
861,"10/7/2017","CONX","15689"
862,"10/7/2017","BSC","15647"
863,"10/7/2017","LIR","15629"
864,"10/7/2017","EGO","15614"
865,"10/7/2017","PEX","15216"
866,"10/7/2017","VPRC","14677"
867,"10/7/2017","OFF","14103"
868,"10/7/2017","DIX","14094"
869,"10/7/2017","OS76","13998"
870,"10/7/2017","SFC","13963"
871,"10/7/2017","RSGP","13961"
872,"10/7/2017","SCS","13900"
873,"10/7/2017","HVCO","13739"
874,"10/7/2017","SANDG","12953"
875,"10/7/2017","DOLLAR","12260"
876,"10/7/2017","BIOB","11910"
877,"10/7/2017","WEX","11854"
878,"10/7/2017","CCM100","11294"
879,"10/7/2017","ZNE","10639"
880,"10/7/2017","BNX","10158"
881,"10/7/2017","SDP","8916"
882,"10/7/2017","ARGUS","8634"
883,"10/7/2017","VOLT","8521"
884,"10/7/2017","P7C","7638"
885,"10/7/2017","NODC","7280"
886,"10/7/2017","JIO","7200"
887,"10/7/2017","XRC","6697"
888,"10/7/2017","GEERT","6625"
889,"10/7/2017","OCEAN","6316"
890,"10/7/2017","SLFI","4691"
891,"10/7/2017","XNG","4132"
892,"10/7/2017","MNC","3631"
893,"10/7/2017","SOJ","3557"
894,"10/7/2017","DRAGON","3218"
895,"10/7/2017","PIZZA","2410"
896,"10/7/2017","CF","2405"
897,"10/7/2017","LEX","2402"
898,"10/7/2017","BQC","2202"
899,"10/7/2017","PWR","2168"
900,"10/7/2017","FDC","2149"
901,"10/7/2017","ULA","1612"
902,"10/7/2017","MUG","1390"
903,"10/7/2017","DGCS","760"
904,"10/7/2017","ENV","556"
905,"10/7/2017","XEN","106"
906,"10/7/2017","CALC","86"
