"rank","dtm","ticker","marketcap"
166,"10/7/2017","MUE","16790511"
167,"10/7/2017","SAN","16682919"
168,"10/7/2017","RBY","16112294"
169,"10/7/2017","VSL","15774772"
170,"10/7/2017","PLBT","15506385"
171,"10/7/2017","XPA","15313900"
172,"10/7/2017","OAX","14908964"
173,"10/7/2017","MYST","14878591"
174,"10/7/2017","ECN","14695937"
175,"10/7/2017","OK","14678622"
176,"10/7/2017","GUP","14659800"
177,"10/7/2017","LUN","14506691"
178,"10/7/2017","SLS","14503930"
179,"10/7/2017","ZEN","14382660"
180,"10/7/2017","XDN","14007640"
181,"10/7/2017","ODN","13979346"
182,"10/7/2017","BURST","13901000"
183,"10/7/2017","KORE","13849081"
184,"10/7/2017","EXP","13816902"
185,"10/7/2017","POT","13642526"
186,"10/7/2017","PLR","13610640"
187,"10/7/2017","IFT","13581945"
188,"10/7/2017","RADS","13537882"
189,"10/7/2017","BLK","13494405"
190,"10/7/2017","SHIFT","13482172"
191,"10/7/2017","LBC","13479939"
192,"10/7/2017","QAU","13415421"
193,"10/7/2017","TIME","12986614"
194,"10/7/2017","AGRS","12824448"
195,"10/7/2017","AMP","12760259"
196,"10/7/2017","GOLOS","12581762"
197,"10/7/2017","SWT","12538733"
198,"10/7/2017","PGL","12421088"
199,"10/7/2017","ENRG","12380735"
200,"10/7/2017","PIX","12038651"
201,"10/7/2017","SOAR","11904242"
202,"10/7/2017","GRC","11899504"
203,"10/7/2017","VOISE","11833905"
204,"10/7/2017","CSNO","11799760"
205,"10/7/2017","OMNI","11715293"
206,"10/7/2017","WCT","11592455"
207,"10/7/2017","PPY","11491983"
208,"10/7/2017","NET","10833165"
209,"10/7/2017","BET","10820050"
210,"10/7/2017","PST","10802586"
211,"10/7/2017","GAM","10778809"
212,"10/7/2017","XRB","10698872"
213,"10/7/2017","DTB","10556007"
214,"10/7/2017","SMART","10272243"
215,"10/7/2017","LMC","10181649"
216,"10/7/2017","MOON","9985253"
217,"10/7/2017","BCAP","9803960"
218,"10/7/2017","SPRTS","9479500"
219,"10/7/2017","FLO","9391006"
220,"10/7/2017","WGR","9343230"
221,"10/7/2017","TOA","9303183"
222,"10/7/2017","OBITS","9255820"
223,"10/7/2017","XC","9155471"
224,"10/7/2017","VIBE","8642039"
225,"10/7/2017","PLU","8641945"
226,"10/7/2017","XSPEC","8578432"
227,"10/7/2017","VRC","8554189"
228,"10/7/2017","NVST","8428320"
229,"10/7/2017","EDR","8412598"
230,"10/7/2017","VOX","8313921"
231,"10/7/2017","MUSIC","8178246"
232,"10/7/2017","PEPECASH","8036853"
233,"10/7/2017","PINK","8025452"
234,"10/7/2017","IXT","7995498"
235,"10/7/2017","NEOS","7965586"
236,"10/7/2017","ATCC","7845493"
237,"10/7/2017","PZM","7666139"
238,"10/7/2017","ECOB","7614311"
239,"10/7/2017","BITCNY","7477983"
240,"10/7/2017","XBY","7413913"
241,"10/7/2017","HEAT","7313293"
242,"10/7/2017","GRS","7307490"
243,"10/7/2017","SPHR","7286036"
244,"10/7/2017","HVN","7204050"
245,"10/7/2017","SLR","7200345"
246,"10/7/2017","IOP","7156224"
247,"10/7/2017","NVC","7045455"
248,"10/7/2017","BSD","7035947"
249,"10/7/2017","FTC","6961992"
250,"10/7/2017","INCNT","6906451"
251,"10/7/2017","PRO","6698205"
252,"10/7/2017","CAT","6586955"
253,"10/7/2017","NTRN","6552601"
254,"10/7/2017","POSW","6388943"
255,"10/7/2017","BTX","6290064"
256,"10/7/2017","CADASTRAL","6189780"
257,"10/7/2017","ETT","6166608"
258,"10/7/2017","XWC","6140632"
259,"10/7/2017","EBTC","6004344"
260,"10/7/2017","BITB","5989023"
261,"10/7/2017","TIX","5964440"
262,"10/7/2017","BCY","5907876"
263,"10/7/2017","DBIX","5892629"
264,"10/7/2017","NOTE","5881641"
265,"10/7/2017","MYB","5825363"
266,"10/7/2017","GCC","5806292"
267,"10/7/2017","DENT","5794481"
268,"10/7/2017","CRB","5793534"
269,"10/7/2017","PDC","5770750"
270,"10/7/2017","EQT","5729037"
271,"10/7/2017","AUR","5728026"
272,"10/7/2017","QWARK","5674125"
273,"10/7/2017","CURE","5616850"
274,"10/7/2017","ABY","5602763"
275,"10/7/2017","FLDC","5461685"
276,"10/7/2017","XTO","5286187"
277,"10/7/2017","XBC","5181249"
278,"10/7/2017","XVC","5096053"
279,"10/7/2017","APX","5062833"
280,"10/7/2017","GCR","4992885"
281,"10/7/2017","WBB","4984246"
282,"10/7/2017","BELA","4980171"
283,"10/7/2017","SEQ","4979551"
284,"10/7/2017","ETHD","4951095"
285,"10/7/2017","UNY","4948333"
286,"10/7/2017","PTC","4919548"
287,"10/7/2017","EXCL","4853351"
288,"10/7/2017","COSS","4847602"
289,"10/7/2017","ERC","4842877"
290,"10/7/2017","OPT","4833437"
291,"10/7/2017","XST","4809330"
292,"10/7/2017","BLITZ","4788603"
293,"10/7/2017","GLD","4757909"
294,"10/7/2017","SCL","4697459"
295,"10/7/2017","HTML5","4669363"
296,"10/7/2017","BIS","4582919"
297,"10/7/2017","PBT","4496540"
298,"10/7/2017","VISIO","4383839"
299,"10/7/2017","PASC","4373806"
300,"10/7/2017","ECC","4337275"
301,"10/7/2017","COVAL","4337280"
302,"10/7/2017","SWIFT","4314171"
303,"10/7/2017","SNRG","4298533"
304,"10/7/2017","CRAVE","4278591"
305,"10/7/2017","RAIN","4262463"
306,"10/7/2017","HUSH","4233145"
307,"10/7/2017","TFL","4151877"
308,"10/7/2017","TRC","4144624"
309,"10/7/2017","ZRC","3853140"
310,"10/7/2017","CHC","3701687"
311,"10/7/2017","DYN","3700843"
312,"10/7/2017","CVCOIN","3675692"
313,"10/7/2017","THC","3621698"
314,"10/7/2017","CNT","3603116"
315,"10/7/2017","EMB","3442546"
316,"10/7/2017","SNC","3436617"
317,"10/7/2017","SBD","3412483"
318,"10/7/2017","TRUST","3401275"
319,"10/7/2017","NSR","3373229"
320,"10/7/2017","XMY","3357423"
321,"10/7/2017","ZCL","3350519"
322,"10/7/2017","DOPE","3319550"
323,"10/7/2017","GEO","3242329"
324,"10/7/2017","MINT","3234156"
325,"10/7/2017","BITUSD","3164999"
326,"10/7/2017","SYNX","3146191"
327,"10/7/2017","BTM","3079109"
328,"10/7/2017","PUT","3071533"
329,"10/7/2017","MXT","3055023"
330,"10/7/2017","XPM","3044118"
331,"10/7/2017","MEME","2898180"
332,"10/7/2017","EGC","2875336"
333,"10/7/2017","SIGT","2856258"
334,"10/7/2017","BRX","2788313"
335,"10/7/2017","CSC","2772542"
336,"10/7/2017","VASH","2767164"
337,"10/7/2017","VRM","2759973"
338,"10/7/2017","CHIPS","2707562"
339,"10/7/2017","2GIVE","2688227"
340,"10/7/2017","ONION","2677212"
341,"10/7/2017","BRK","2674687"
342,"10/7/2017","BLU","2616391"
343,"10/7/2017","TX","2595618"
344,"10/7/2017","RMC","2575168"
345,"10/7/2017","HPC","2547338"
346,"10/7/2017","ATMS","2526380"
347,"10/7/2017","OCL","2511735"
348,"10/7/2017","STA","2496311"
349,"10/7/2017","NDC","2448937"
350,"10/7/2017","MBRS","2324430"
351,"10/7/2017","B3","2303553"
352,"10/7/2017","CANN","2258904"
353,"10/7/2017","START","2114864"
354,"10/7/2017","NAUT","2106717"
355,"10/7/2017","ZEIT","2082381"
356,"10/7/2017","VTR","2073507"
357,"10/7/2017","LGD","2004200"
358,"10/7/2017","DIME","1992185"
359,"10/7/2017","TKS","1990002"
360,"10/7/2017","PING","1983650"
361,"10/7/2017","INXT","1954982"
362,"10/7/2017","CV2","1940562"
363,"10/7/2017","REX","1934267"
364,"10/7/2017","ESP","1892955"
365,"10/7/2017","DAR","1887639"
366,"10/7/2017","JNS","1845057"
367,"10/7/2017","HUC","1774362"
368,"10/7/2017","RIC","1760337"
369,"10/7/2017","XMG","1739460"
370,"10/7/2017","SHORTY","1730570"
371,"10/7/2017","ADZ","1662224"
372,"10/7/2017","CREA","1646334"
373,"10/7/2017","RUP","1644677"
374,"10/7/2017","ETBS","1637834"
375,"10/7/2017","ELIX","1624832"
376,"10/7/2017","MNE","1602944"
377,"10/7/2017","MGC","1584515"
378,"10/7/2017","EOT","1576728"
379,"10/7/2017","LINDA","1573235"
380,"10/7/2017","1337","1564884"
381,"10/7/2017","UNIFY","1564488"
382,"10/7/2017","XMCC","1546817"
383,"10/7/2017","EFL","1543200"
384,"10/7/2017","PKB","1538052"
385,"10/7/2017","SKIN","1514631"
386,"10/7/2017","CCRB","1503827"
387,"10/7/2017","CBX","1496956"
388,"10/7/2017","FYN","1494793"
389,"10/7/2017","XP","1455620"
390,"10/7/2017","808","1397600"
391,"10/7/2017","ZENI","1389569"
392,"10/7/2017","RNS","1382289"
393,"10/7/2017","ADST","1376324"
394,"10/7/2017","HYP","1330617"
395,"10/7/2017","LNK","1317488"
396,"10/7/2017","FST","1314306"
397,"10/7/2017","BTA","1313348"
398,"10/7/2017","GRWI","1290887"
399,"10/7/2017","FUCK","1258026"
400,"10/7/2017","MER","1246750"
401,"10/7/2017","MRT","1227460"
402,"10/7/2017","ONX","1224642"
403,"10/7/2017","TKR","1222087"
404,"10/7/2017","SXC","1217261"
405,"10/7/2017","ARC","1198069"
406,"10/7/2017","NETKO","1191714"
407,"10/7/2017","WTT","1173015"
408,"10/7/2017","SMLY","1161924"
409,"10/7/2017","VIVO","1145270"
410,"10/7/2017","ZOI","1142792"
411,"10/7/2017","SDC","1120551"
412,"10/7/2017","XFT","1110867"
413,"10/7/2017","INFX","1095837"
414,"10/7/2017","BYC","1058539"
415,"10/7/2017","DOT","1046953"
416,"10/7/2017","ZCC","1009850"
417,"10/7/2017","TIPS","1009129"
418,"10/7/2017","CPC","1007554"
419,"10/7/2017","INSN","1004115"
420,"10/7/2017","XBL","986605"
421,"10/7/2017","SUMO","968322"
422,"10/7/2017","USNBT","959091"
423,"10/7/2017","XHI","946261"
424,"10/7/2017","IFLT","913853"
425,"10/7/2017","BLAS","913799"
426,"10/7/2017","WDC","888682"
427,"10/7/2017","STRC","886887"
428,"10/7/2017","MAO","881135"
429,"10/7/2017","JET","839314"
430,"10/7/2017","MBI","831607"
431,"10/7/2017","NTO","799427"
432,"10/7/2017","TYCHO","769914"
433,"10/7/2017","BUCKS","769578"
434,"10/7/2017","LDOGE","765230"
435,"10/7/2017","BRIT","726867"
436,"10/7/2017","HNC","713466"
437,"10/7/2017","VSX","709084"
438,"10/7/2017","DCY","706057"
439,"10/7/2017","WGO","702781"
440,"10/7/2017","FCN","698060"
441,"10/7/2017","CRM","689208"
442,"10/7/2017","PIE","666849"
443,"10/7/2017","MEC","660422"
444,"10/7/2017","KEK","659753"
445,"10/7/2017","BRO","656259"
446,"10/7/2017","DP","651878"
447,"10/7/2017","XCN","646543"
448,"10/7/2017","SMC","642009"
449,"10/7/2017","UIS","636316"
450,"10/7/2017","DNR","630661"
451,"10/7/2017","FJC","623046"
452,"10/7/2017","DAXX","608879"
453,"10/7/2017","UNB","596217"
454,"10/7/2017","KRB","555695"
455,"10/7/2017","LINX","528537"
456,"10/7/2017","DALC","517384"
457,"10/7/2017","NOBL","500229"
458,"10/7/2017","MOIN","495305"
459,"10/7/2017","XVP","452890"
460,"10/7/2017","RLT","446918"
461,"10/7/2017","XCXT","443865"
462,"10/7/2017","DDF","436495"
463,"10/7/2017","POST","421901"
464,"10/7/2017","SCORE","416167"
465,"10/7/2017","PROC","416146"
466,"10/7/2017","FAL","411332"
467,"10/7/2017","NEWB","403403"
468,"10/7/2017","DAS","403042"
469,"10/7/2017","FIMK","400420"
470,"10/7/2017","BLOCKPAY","392846"
471,"10/7/2017","WOMEN","388479"
472,"10/7/2017","DFT","386402"
473,"10/7/2017","MOJO","386232"
474,"10/7/2017","42","380627"
475,"10/7/2017","XLR","379028"
476,"10/7/2017","ZER","374208"
477,"10/7/2017","XVS","372235"
478,"10/7/2017","XCT","366730"
479,"10/7/2017","GCN","359523"
480,"10/7/2017","DRACO","358546"
481,"10/7/2017","FXE","330821"
482,"10/7/2017","HODL","323845"
483,"10/7/2017","PXC","321234"
484,"10/7/2017","OHM","315434"
485,"10/7/2017","DEM","312228"
486,"10/7/2017","WYV","310743"
487,"10/7/2017","XCS","308835"
488,"10/7/2017","ATOM","304890"
489,"10/7/2017","ENT","304200"
490,"10/7/2017","ANC","302611"
491,"10/7/2017","RBIES","295889"
492,"10/7/2017","TRI","275108"
493,"10/7/2017","BITBTC","238275"
494,"10/7/2017","BXT","238269"
495,"10/7/2017","LANA","231942"
496,"10/7/2017","XPTX","226341"
497,"10/7/2017","ITZ","203837"
498,"10/7/2017","FRN","203285"
499,"10/7/2017","CWXT","189162"
500,"10/7/2017","REE","186942"
501,"10/7/2017","MAY","170690"
502,"10/7/2017","HONEY","160722"
503,"10/7/2017","EL","159295"
504,"10/7/2017","RUPX","157203"
505,"10/7/2017","CJ","151145"
506,"10/7/2017","BITSILVER","148574"
507,"10/7/2017","VUC","148541"
508,"10/7/2017","UNI","147889"
509,"10/7/2017","KLC","144738"
510,"10/7/2017","BCF","142385"
511,"10/7/2017","BRIA","141826"
512,"10/7/2017","FLAX","134489"
513,"10/7/2017","ZUR","132005"
514,"10/7/2017","VLTC","129306"
515,"10/7/2017","ECO","123900"
516,"10/7/2017","YOC","120648"
517,"10/7/2017","TIX","119583"
518,"10/7/2017","TSE","112039"
519,"10/7/2017","ACOIN","110493"
520,"10/7/2017","CNNC","109043"
521,"10/7/2017","BSTY","108863"
522,"10/7/2017","DRXNE","99517"
523,"10/7/2017","BITEUR","97353"
524,"10/7/2017","XCO","95861"
525,"10/7/2017","888","86726"
526,"10/7/2017","CON","84171"
527,"10/7/2017","BIP","83918"
528,"10/7/2017","XTC","81162"
529,"10/7/2017","TSTR","78506"
530,"10/7/2017","CMPCO","75259"
531,"10/7/2017","MSCN","73904"
532,"10/7/2017","BTPL","73390"
533,"10/7/2017","GLT","69109"
534,"10/7/2017","WORM","66460"
535,"10/7/2017","BOAT","58772"
536,"10/7/2017","LCP","56386"
537,"10/7/2017","BOST","49878"
538,"10/7/2017","DRS","44310"
539,"10/7/2017","NEVA","42059"
540,"10/7/2017","ERY","38218"
541,"10/7/2017","LTCR","37929"
542,"10/7/2017","CNC","36104"
543,"10/7/2017","UET","35224"
544,"10/7/2017","ALTC","34863"
545,"10/7/2017","CREVA","33662"
546,"10/7/2017","WBC","29162"
547,"10/7/2017","KRONE","28551"
548,"10/7/2017","VRS","26821"
549,"10/7/2017","CTIC2","25753"
550,"10/7/2017","FRAZ","21485"
551,"10/7/2017","ACP","20777"
552,"10/7/2017","NANOX","13918"
553,"10/7/2017","LTCU","13174"
554,"10/7/2017","MGM","11603"
555,"10/7/2017","LBTC","10556"
556,"10/7/2017","LVPS","6761"
557,"10/7/2017","ELS","3648"
558,"10/7/2017","HMC","1719"
559,"10/7/2017","EBT","1712"
560,"10/7/2017","DMB","1405"
561,"10/7/2017","APW","1088"
562,"10/7/2017","ABN","813"
563,"10/7/2017","UNITY","27249330"
564,"10/7/2017","JINN","9615845"
565,"10/7/2017","ROUND","5673512"
566,"10/7/2017","ARC","4019147"
567,"10/7/2017","OCT","3642390"
568,"10/7/2017","BPC","3610785"
569,"10/7/2017","AC","2467045"
570,"10/7/2017","ADL","2403626"
571,"10/7/2017","YASH","2081936"
572,"10/7/2017","BASH","2013691"
573,"10/7/2017","ICOO","1694002"
574,"10/7/2017","QRK","1595823"
575,"10/7/2017","INPAY","1528890"
576,"10/7/2017","IXC","1476897"
577,"10/7/2017","IFC","1298054"
578,"10/7/2017","ADC","1193964"
579,"10/7/2017","ALT","1084269"
580,"10/7/2017","CAGE","1048509"
581,"10/7/2017","AHT","1012176"
582,"10/7/2017","EAC","994448"
583,"10/7/2017","PIGGY","942849"
584,"10/7/2017","LOG","916574"
585,"10/7/2017","RUSTBITS","798633"
586,"10/7/2017","MAX","776418"
587,"10/7/2017","USC","764448"
588,"10/7/2017","HERO","757991"
589,"10/7/2017","EMP","729945"
590,"10/7/2017","ITI","710954"
591,"10/7/2017","TES","688347"
592,"10/7/2017","BTSR","683674"
593,"10/7/2017","ZET","669571"
594,"10/7/2017","FNC","667734"
595,"10/7/2017","CARBON","667594"
596,"10/7/2017","TOKEN","664497"
597,"10/7/2017","E4ROW","596350"
598,"10/7/2017","CDN","596141"
599,"10/7/2017","ICE","571932"
600,"10/7/2017","PND","548335"
601,"10/7/2017","GRE","546046"
602,"10/7/2017","METAL","543845"
603,"10/7/2017","RC","525645"
604,"10/7/2017","NKA","510389"
605,"10/7/2017","CRYPT","479940"
606,"10/7/2017","HTC","476941"
607,"10/7/2017","RIYA","458011"
608,"10/7/2017","BITZ","441942"
609,"10/7/2017","FC2","431732"
610,"10/7/2017","FUNC","419119"
611,"10/7/2017","NET","408694"
612,"10/7/2017","DSH","404201"
613,"10/7/2017","UTC","404183"
614,"10/7/2017","MZC","400342"
615,"10/7/2017","KOBO","389241"
616,"10/7/2017","SUPER","385455"
617,"10/7/2017","TAG","375652"
618,"10/7/2017","NYC","358657"
619,"10/7/2017","GLC","356158"
620,"10/7/2017","MAC","351157"
621,"10/7/2017","TROLL","351151"
622,"10/7/2017","VLT","338314"
623,"10/7/2017","TRUMP","336994"
624,"10/7/2017","AMBER","333585"
625,"10/7/2017","TALK","333110"
626,"10/7/2017","HBN","305525"
627,"10/7/2017","SHDW","303610"
628,"10/7/2017","BTB","299769"
629,"10/7/2017","GAIA","297922"
630,"10/7/2017","UFO","297863"
631,"10/7/2017","XPY","285956"
632,"10/7/2017","DVC","284606"
633,"10/7/2017","V","283277"
634,"10/7/2017","I0C","280302"
635,"10/7/2017","GOOD","269261"
636,"10/7/2017","BITS","266301"
637,"10/7/2017","ORB","265657"
638,"10/7/2017","TIT","261785"
639,"10/7/2017","PAK","259517"
640,"10/7/2017","CFT","256132"
641,"10/7/2017","CCN","255389"
642,"10/7/2017","PR","252971"
643,"10/7/2017","CASINO","247180"
644,"10/7/2017","BLC","246393"
645,"10/7/2017","STS","245115"
646,"10/7/2017","TEK","242892"
647,"10/7/2017","ECA","240923"
648,"10/7/2017","KRS","234491"
649,"10/7/2017","SWING","233598"
650,"10/7/2017","UNIC","227743"
651,"10/7/2017","AU","217566"
652,"10/7/2017","8BIT","214982"
653,"10/7/2017","FLY","210696"
654,"10/7/2017","OPAL","210162"
655,"10/7/2017","BAS","205959"
656,"10/7/2017","COXST","205040"
657,"10/7/2017","FLT","199977"
658,"10/7/2017","USDE","196775"
659,"10/7/2017","XRA","189175"
660,"10/7/2017","SLM","187236"
661,"10/7/2017","TRK","183424"
662,"10/7/2017","FUNK","183320"
663,"10/7/2017","HMP","176524"
664,"10/7/2017","BUN","174856"
665,"10/7/2017","VIDZ","173880"
666,"10/7/2017","VAL","170978"
667,"10/7/2017","ICN","170026"
668,"10/7/2017","BTCS","167838"
669,"10/7/2017","MNM","165897"
670,"10/7/2017","LOT","164979"
671,"10/7/2017","KED","164142"
672,"10/7/2017","RBX","161315"
673,"10/7/2017","CAP","159226"
674,"10/7/2017","DLC","157239"
675,"10/7/2017","020","154624"
676,"10/7/2017","SMOKE","152338"
677,"10/7/2017","SLG","150847"
678,"10/7/2017","XGR","148209"
679,"10/7/2017","PXI","146578"
680,"10/7/2017","FRC","144707"
681,"10/7/2017","SAC","143393"
682,"10/7/2017","PSB","143243"
683,"10/7/2017","WAY","143188"
684,"10/7/2017","BOLI","142616"
685,"10/7/2017","Q2C","139870"
686,"10/7/2017","ELE","136555"
687,"10/7/2017","MTM","136490"
688,"10/7/2017","CNO","132251"
689,"10/7/2017","DGC","132008"
690,"10/7/2017","PUTIC","131748"
691,"10/7/2017","EMD","131716"
692,"10/7/2017","GRT","131002"
693,"10/7/2017","VC","130519"
694,"10/7/2017","YAC","129165"
695,"10/7/2017","BTWTY","128159"
696,"10/7/2017","UNITS","120310"
697,"10/7/2017","SPEX","120052"
698,"10/7/2017","CHESS","116762"
699,"10/7/2017","GUN","116521"
700,"10/7/2017","UNIT","115435"
701,"10/7/2017","BITGOLD","113433"
702,"10/7/2017","CYP","112917"
703,"10/7/2017","J","109219"
704,"10/7/2017","TTC","109159"
705,"10/7/2017","LTBC","107320"
706,"10/7/2017","CUBE","105358"
707,"10/7/2017","KUSH","104905"
708,"10/7/2017","QCN","104874"
709,"10/7/2017","C2","104736"
710,"10/7/2017","EVO","103706"
711,"10/7/2017","NDAO","102399"
712,"10/7/2017","XRE","100897"
713,"10/7/2017","NYAN","99355"
714,"10/7/2017","BBP","98645"
715,"10/7/2017","TGC","96304"
716,"10/7/2017","XJO","95032"
717,"10/7/2017","LTB","94822"
718,"10/7/2017","PX","93601"
719,"10/7/2017","GB","91046"
720,"10/7/2017","MCRN","90574"
721,"10/7/2017","XPD","89791"
722,"10/7/2017","BERN","89160"
723,"10/7/2017","MAD","87603"
724,"10/7/2017","PASL","85883"
725,"10/7/2017","ARG","85844"
726,"10/7/2017","JIN","85431"
727,"10/7/2017","FIRE","85368"
728,"10/7/2017","EVIL","81555"
729,"10/7/2017","VTA","81473"
730,"10/7/2017","KIC","81029"
731,"10/7/2017","DUO","81006"
732,"10/7/2017","ARI","79619"
733,"10/7/2017","GP","79364"
734,"10/7/2017","PLNC","78570"
735,"10/7/2017","MST","77590"
736,"10/7/2017","FRK","77440"
737,"10/7/2017","BIGUP","74965"
738,"10/7/2017","ARCO","74370"
739,"10/7/2017","WMC","74247"
