close,volbtc,bb_up,bb_mid,bb_low,rsi,close_lag1,bb_low_lag1,bb_up_lag1,close_lag2,bb_low_lag2,bb_up_lag2,rsi_lag1,rsi_lag2,bb_sig
1094.99,1226.573213,1093.209599,1065.888571,1038.567544,91.15670277,1084.62,1025.643305,1084.899552,1070,1019.475594,1073.878691,89.28480267,85.60184054,0
1087.64,1440.470023,1096.445127,1072.838571,1049.232015,79.65063077,1094.99,1038.567544,1093.209599,1084.62,1025.643305,1084.899552,91.15670277,89.28480267,0
1137,2114.400126,1121.614101,1085.732857,1049.851613,89.76877325,1087.64,1049.232015,1096.445127,1094.99,1038.567544,1093.209599,79.65063077,91.15670277,0
1124.62,1703.215349,1132.386609,1094.541429,1056.696248,78.36693253,1137,1049.851613,1121.614101,1087.64,1049.232015,1096.445127,89.76877325,79.65063077,0
1090.72,2481.861951,1131.377168,1098.512857,1065.648546,55.74678812,1124.62,1056.696248,1132.386609,1137,1049.851613,1121.614101,78.36693253,89.76877325,0
1130.3,1550.025889,1138.377139,1107.127143,1075.877146,68.23570195,1090.72,1065.648546,1131.377168,1124.62,1056.696248,1132.386609,55.74678812,78.36693253,0
1120.32,1858.908253,1140.707985,1112.227143,1083.746301,63.00503943,1130.3,1075.877146,1138.377139,1090.72,1065.648546,1131.377168,68.23570195,55.74678812,0
1139.89,624.6396878,1148.121114,1118.641429,1089.161743,68.524804,1120.32,1083.746301,1140.707985,1130.3,1075.877146,1138.377139,63.00503943,68.23570195,0
1163.01,920.1052558,1159.937896,1129.408571,1098.879247,73.89351659,1139.89,1089.161743,1148.121114,1120.32,1083.746301,1140.707985,68.524804,63.00503943,0
1167.4,1315.776387,1170.289263,1133.751429,1097.213594,74.84404689,1163.01,1098.879247,1159.937896,1139.89,1089.161743,1148.121114,73.89351659,68.524804,0
1074.33,2337.884867,1174.80628,1126.567143,1078.328005,39.3801291,1167.4,1097.213594,1170.289263,1163.01,1098.879247,1159.937896,74.84404689,73.89351659,0
1100.99,858.1237822,1174.071285,1128.034286,1081.997286,47.6671932,1074.33,1078.328005,1174.80628,1167.4,1097.213594,1170.289263,39.3801291,74.84404689,0
970,4065.932195,1199.820391,1105.134286,1010.448181,26.72483698,1100.99,1081.997286,1174.071285,1074.33,1078.328005,1174.80628,47.6671932,39.3801291,0
995.49,2147.535475,1197.028285,1087.301429,977.5745717,33.37067649,970,1010.448181,1199.820391,1100.99,1081.997286,1174.071285,26.72483698,47.6671932,0
976.97,2121.44888,1181.691937,1064.027143,946.3623489,30.98830841,995.49,977.5745717,1197.028285,970,1010.448181,1199.820391,33.37067649,26.72483698,0
970.22,1408.38252,1145.194411,1036.485714,927.7770172,30.07532321,976.97,946.3623489,1181.691937,995.49,977.5745717,1197.028285,30.98830841,33.37067649,0
969.87,1024.988973,1085.361255,1008.267143,931.1730302,30.02181581,970.22,927.7770172,1145.194411,976.97,946.3623489,1181.691937,30.07532321,30.98830841,0
1007,1792.238343,1064.474434,998.6485714,932.8227089,42.64999495,969.87,931.1730302,1085.361255,970.22,927.7770172,1145.194411,30.02181581,30.07532321,0
1020.43,744.128191,1015.792491,987.14,958.4875095,46.70822015,1007,932.8227089,1064.474434,969.87,931.1730302,1085.361255,42.64999495,30.02181581,0
982,1365.558056,1015.843466,988.8542857,961.8651059,37.78264515,1020.43,958.4875095,1015.792491,1007,932.8227089,1064.474434,46.70822015,42.64999495,0
982.38,559.0106224,1013.811328,986.9814286,960.1515294,37.91949934,982,961.8651059,1015.843466,1020.43,958.4875095,1015.792491,37.78264515,46.70822015,0
983.06,419.4272005,1014.135776,987.8514286,961.5670815,38.20328084,982.38,960.1515294,1013.811328,982,961.8651059,1015.843466,37.91949934,37.78264515,0
933.26,1660.20084,1021.122019,982.5714286,944.0208379,27.4731584,983.06,961.5670815,1014.135776,982.38,960.1515294,1013.811328,38.20328084,37.91949934,0
894.93,1660.713103,1032.242156,971.8657143,911.4892724,21.93975781,933.26,944.0208379,1021.122019,983.06,961.5670815,1014.135776,27.4731584,38.20328084,0
906,1578.024429,1022.048097,957.4371429,892.8261891,26.9005734,894.93,911.4892724,1032.242156,933.26,944.0208379,1021.122019,21.93975781,27.4731584,1
917.13,1432.200501,996.8218393,942.68,888.5381607,31.97172921,906,892.8261891,1022.048097,894.93,911.4892724,1032.242156,26.9005734,21.93975781,0
916.08,1177.896167,982.8842672,933.2628571,883.6414471,31.7294609,917.13,888.5381607,996.8218393,906,892.8261891,1022.048097,31.97172921,26.9005734,0
893.52,1632.040946,963.3699574,920.5685714,877.7671854,26.66465281,916.08,883.6414471,982.8842672,917.13,888.5381607,996.8218393,31.7294609,31.97172921,0
899.47,1166.297756,928.6011666,908.6271429,888.6531191,30.09797619,893.52,877.7671854,963.3699574,916.08,883.6414471,982.8842672,26.66465281,31.7294609,0
895.71,958.1616703,917.1485377,903.2628571,889.3771766,29.09377864,899.47,888.6531191,928.6011666,893.52,877.7671854,963.3699574,30.09797619,26.66465281,0
878,818.0266089,919.8829688,900.8442857,881.8056026,24.5861345,895.71,889.3771766,917.1485377,899.47,888.6531191,928.6011666,29.09377864,30.09797619,0
836.75,3157.140081,929.0850949,890.9514286,852.8177623,17.30176364,878,881.8056026,919.8829688,895.71,889.3771766,917.1485377,24.5861345,29.09377864,0
831.36,1363.435372,923.8376347,878.6985714,833.5595081,16.55407907,836.75,852.8177623,929.0850949,878,881.8056026,919.8829688,17.30176364,24.5861345,1
843,509.226332,910.124657,868.2585714,826.3924859,24.74741013,831.36,833.5595081,923.8376347,836.75,852.8177623,929.0850949,16.55407907,17.30176364,1
897.51,723.9899063,911.5128875,868.8285714,826.1442554,51.02162529,843,826.3924859,910.124657,831.36,833.5595081,923.8376347,24.74741013,16.55407907,0
879.26,367.1863709,905.1381572,865.9414286,826.7446999,44.89849425,897.51,826.1442554,911.5128875,843,826.3924859,910.124657,51.02162529,24.74741013,0
880.36,569.7585193,899.9086036,863.7485714,827.5885392,45.35960969,879.26,826.7446999,905.1381572,897.51,826.1442554,911.5128875,44.89849425,51.02162529,0
891.99,526.5869413,904.3430242,865.7471429,827.1512616,50.4720726,880.36,827.5885392,899.9086036,879.26,826.7446999,905.1381572,45.35960969,44.89849425,0
905.98,1209.041781,914.6190304,875.6371429,836.6552553,56.22076809,891.99,827.1512616,904.3430242,880.36,827.5885392,899.9086036,50.4720726,45.35960969,0
897.04,761.2175586,913.9784736,885.02,856.0615264,51.74323009,905.98,836.6552553,914.6190304,891.99,827.1512616,904.3430242,56.22076809,50.4720726,0
897.79,516.9197762,906.4715688,892.8471429,879.2227169,52.11647949,897.04,856.0615264,913.9784736,905.98,836.6552553,914.6190304,51.74323009,56.22076809,0
909,697.3493409,910.502307,894.4885714,878.4748358,57.80723572,897.79,879.2227169,906.4715688,897.04,856.0615264,913.9784736,52.11647949,51.74323009,0
905.99,429.8439934,912.1494175,898.3071429,884.4648682,55.73232809,909,878.4748358,910.502307,897.79,879.2227169,906.4715688,57.80723572,52.11647949,0
932.19,751.0329148,923.9799567,905.7114286,887.4429004,67.55759978,905.99,884.4648682,912.1494175,909,878.4748358,910.502307,55.73232809,57.80723572,0
944.2,779.0443433,938.1541521,913.17,888.1858479,71.61298961,932.19,887.4429004,923.9799567,905.99,884.4648682,912.1494175,67.55759978,55.73232809,0
929.95,460.829073,942.5117023,916.5942857,890.6768691,61.04923088,944.2,888.1858479,938.1541521,932.19,887.4429004,923.9799567,71.61298961,67.55759978,0
936.99,214.8933718,946.9840439,922.3014286,897.6188133,64.10140111,929.95,890.6768691,942.5117023,944.2,888.1858479,938.1541521,61.04923088,71.61298961,0
915.09,189.795412,945.2444679,924.7728571,904.3012464,49.90813614,936.99,897.6188133,946.9840439,929.95,890.6768691,942.5117023,64.10140111,61.04923088,0
927.52,257.5301824,945.468421,927.4185714,909.3687218,56.31339759,915.09,904.3012464,945.2444679,936.99,897.6188133,946.9840439,49.90813614,64.10140111,0
918.6,499.7312439,943.2163332,929.22,915.2236668,50.86771397,927.52,909.3687218,945.468421,915.09,904.3012464,945.2444679,56.31339759,49.90813614,0
914,650.1508107,942.5062382,926.6214286,910.7366189,48.07090539,918.6,915.2236668,943.2163332,927.52,909.3687218,945.468421,50.86771397,56.31339759,0
913.69,287.5438688,935.0694987,922.2628571,909.4562156,47.86399603,914,910.7366189,942.5062382,918.6,915.2236668,943.2163332,48.07090539,50.86771397,0
919.78,393.5462659,932.736791,920.81,908.883209,52.54542368,913.69,909.4562156,935.0694987,914,910.7366189,942.5062382,47.86399603,48.07090539,0
923.33,535.7761442,926.0400629,918.8585714,911.6770799,55.27650221,919.78,908.883209,932.736791,913.69,909.4562156,935.0694987,52.54542368,47.86399603,0
891.14,843.4836292,931.7965347,915.4371429,899.077751,34.35821585,923.33,911.6770799,926.0400629,919.78,908.883209,932.736791,55.27650221,52.54542368,0
898.84,463.6389614,927.8165034,911.34,894.8634966,40.62840712,891.14,899.077751,931.7965347,923.33,911.6770799,926.0400629,34.35821585,55.27650221,0
901.02,459.866968,925.3988757,908.8285714,892.2582671,42.44434493,898.84,894.8634966,927.8165034,891.14,899.077751,931.7965347,40.62840712,34.35821585,0
891.77,221.142343,924.0055478,905.6528571,887.3001665,36.86293177,901.02,892.2582671,925.3988757,898.84,894.8634966,927.8165034,42.44434493,40.62840712,0
890.09,287.4442152,921.4734706,902.2814286,883.0893865,35.86363836,891.77,887.3001665,924.0055478,901.02,892.2582671,925.3988757,36.86293177,42.44434493,0
908,559.1023456,917.1530997,900.5985714,884.0440432,52.03539273,890.09,883.0893865,921.4734706,891.77,887.3001665,924.0055478,35.86363836,36.86293177,0
903.5,321.4919112,907.3893299,897.7657143,888.1420987,48.45404437,908,884.0440432,917.1530997,890.09,883.0893865,921.4734706,52.03539273,35.86363836,0
901.59,380.0146183,908.1010698,899.2585714,890.4160731,46.85709647,903.5,888.1420987,907.3893299,908,884.0440432,917.1530997,48.45404437,52.03539273,0
894.91,616.4239543,907.8351129,898.6971429,889.5591728,41.30278832,901.59,890.4160731,908.1010698,903.5,888.1420987,907.3893299,46.85709647,48.45404437,0
895,579.7500129,907.0294026,897.8371429,888.6448831,41.41195157,894.91,889.5591728,907.8351129,901.59,890.4160731,908.1010698,41.30278832,46.85709647,0
902,476.3438218,907.8677283,899.2985714,890.7294146,49.87148071,895,888.6448831,907.0294026,894.91,889.5591728,907.8351129,41.41195157,41.30278832,0
902.66,759.3263781,907.617366,901.0942857,894.5712054,50.65521901,902,890.7294146,907.8677283,895,888.6448831,907.0294026,49.87148071,41.41195157,0
910.52,626.3418452,908.9032745,901.4542857,894.0052969,59.46127894,902.66,894.5712054,907.617366,902,890.7294146,907.8677283,50.65521901,49.87148071,0
906.95,510.9374788,909.9035111,901.9471429,893.9907746,54.32409225,910.52,894.0052969,908.9032745,902.66,894.5712054,907.617366,59.46127894,50.65521901,0
900.42,464.7982777,909.7768471,901.78,893.7831529,45.86762271,906.95,893.9907746,909.9035111,910.52,894.0052969,908.9032745,54.32409225,59.46127894,0
904.03,289.0241363,909.9083338,903.0828571,896.2573805,50.80667474,900.42,893.7831529,909.7768471,906.95,893.9907746,909.9035111,45.86762271,54.32409225,0
914.21,285.6991199,912.7869938,905.8271429,898.867292,62.16406074,904.03,896.2573805,909.9083338,900.42,893.7831529,909.7768471,50.80667474,45.86762271,0
908.94,299.0736089,913.4994818,906.8185714,900.1376611,54.5567628,914.21,898.867292,912.7869938,904.03,896.2573805,909.9083338,62.16406074,50.80667474,0
909.09,324.6517345,913.9689767,907.7371429,901.505309,54.74068175,908.94,900.1376611,913.4994818,914.21,898.867292,912.7869938,54.5567628,62.16406074,0
902.82,720.6934562,913.0710849,906.6371429,900.2032008,45.71744674,909.09,901.505309,913.9689767,908.94,900.1376611,913.4994818,54.74068175,54.5567628,0
904.85,804.6087626,912.8323914,906.3371429,899.8418944,48.89912106,902.82,900.2032008,913.0710849,909.09,901.505309,913.9689767,45.71744674,54.74068175,0
