timestamp,open,high,low,close,volbtc,volusd,wtdprice,bb_high,bb_mid,bb_low,rsi,close_lag1,bb_low_lag1,bb_high_lag1,close_lag2,bb_low_lag2,bb_high_lag2,rsi_lag1,rsi_lag2,signal,portfolio,trade_returns,bh_returns,trade_cum_returns,bh_cum_returns,cci,roc
1/1/17 0:00,973.37,973.4,968.21,970.49,392.7592543,381413.2216,970.8186323,,,,,,,,,,,,,1,1,0,0,0,0,,
1/1/17 2:00,970.49,971.99,967,968.14,239.1103827,231693.9959,968.0709517,,,,,970.49,,,,,,,,0,1,-0.002421457,-0.002421457,-0.002421457,-0.002421457,,
1/1/17 4:00,968.17,968.62,964.37,966.92,239.9795171,231950.2816,966.9166079,,,,,968.14,,,970.49,,,,,0,1,-0.001260148,-0.001260148,-0.003678554,-0.003678554,,
1/1/17 6:00,966.92,970.56,964.54,969.47,153.9261192,149052.0746,969.4221149,,,,,966.92,,,968.14,,,,,0,1,0.00263724,0.00263724,-0.001051015,-0.001051015,,
1/1/17 8:00,969.04,970.68,968.11,970.38,148.0947756,143545.5785,970.38,,,,,969.47,,,966.92,,,,,0,1,0.000938657,0.000938657,-0.000113345,-0.000113345,,
1/1/17 10:00,970.36,975,969.79,975,157.5649704,153401.955,975,,,,,970.38,,,969.47,,,,,0,1,0.004761021,0.004761021,0.004647137,0.004647137,,
1/1/17 12:00,975,977.99,974.01,977.99,209.2465706,204358.6353,977.99,976.6482089,971.1985714,965.7489339,,975,,,970.38,,,,,0,1,0.003066667,0.003066667,0.007728055,0.007728055,160.3646902,
1/1/17 14:00,977.99,979.99,977.58,979.99,211.9210903,207560.6166,979.99,979.64345,972.5557143,965.4679785,78.54567308,977.99,965.7489339,976.6482089,975,,,,,0,1,0.002045011,0.002045011,0.00978887,0.00978887,125.8448889,
1/1/17 16:00,979.98,994.97,977.63,994.42,911.8115517,901567.3176,994.3784771,989.1907448,976.31,963.4292552,89.33532487,979.99,965.4679785,979.64345,977.99,965.7489339,976.6482089,78.54567308,,0,1,0.01472464,0.01472464,0.024657647,0.024657647,160.4339818,
1/1/17 18:00,994.49,999.68,993.7,994.92,619.2245373,616837.4853,994.9147257,994.9008734,980.31,965.7191266,89.54782043,994.42,963.4292552,989.1907448,979.99,965.4679785,979.64345,89.33532487,78.54567308,-1,0,0,0.000502806,0.024657647,0.025172851,145.2710456,
