volbtc,rsi_lag1,rsi_lag2,signal
2610.715059,86.81594337,83.28259767,-1
1700.166361,88.97067853,86.81594337,-1
1219.412694,86.8112424,88.97067853,0
1037.47735,87.68748237,86.8112424,0
1228.490963,89.9182843,87.68748237,0
909.0941784,74.37751553,89.9182843,0
1641.047676,76.66824252,74.37751553,0
975.277594,70.71394398,76.66824252,0
1130.735774,71.58766522,70.71394398,0
635.277096,73.73875525,71.58766522,0
348.5082247,70.69524576,73.73875525,0
1309.076649,71.31455284,70.69524576,0
681.7442271,66.64922798,71.31455284,0
935.8632118,67.38378704,66.64922798,0
1154.323097,64.72026688,67.38378704,0
848.2349587,67.03592738,64.72026688,0
706.7968513,70.3515654,67.03592738,0
1174.439306,70.53224262,70.3515654,0
1612.281677,71.64265344,70.53224262,0
1322.740388,69.65299472,71.64265344,0
1477.027234,71.10694766,69.65299472,0
1012.90362,71.85362387,71.10694766,0
579.4360137,67.70477496,71.85362387,0
2502.247133,69.62502649,67.70477496,0
2176.76971,53.60271494,69.62502649,0
2022.117335,52.1613521,53.60271494,0
1167.029824,56.58624136,52.1613521,0
578.4741817,56.24781042,56.58624136,0
583.2071308,52.92722254,56.24781042,0
1086.956679,58.17463702,52.92722254,0
1231.90379,52.66809548,58.17463702,0
1028.338644,56.13999597,52.66809548,0
784.5866677,58.22707419,56.13999597,0
538.6096064,56.2658659,58.22707419,0
492.8071421,55.19195733,56.2658659,0
1132.213605,55.37314899,55.19195733,0
1167.748631,50.38175772,55.37314899,0
864.3560377,51.62038137,50.38175772,0
859.319864,50.33762104,51.62038137,0
635.9803974,50.70007584,50.33762104,0
545.0700896,51.56799313,50.70007584,0
784.6674495,49.44638032,51.56799313,0
1064.863287,49.96196778,49.44638032,0
1791.523389,53.34406153,49.96196778,0
1185.784184,55.06216912,53.34406153,0
584.4917326,62.2581216,55.06216912,0
499.5550002,63.13542376,62.2581216,0
592.9953392,61.59356113,63.13542376,0
809.462499,63.82716299,61.59356113,0
1932.163029,63.84114231,63.82716299,0
3588.302958,81.35100484,63.84114231,0
2226.301736,88.43029638,81.35100484,-1
1601.61778,80.7368316,88.43029638,0
2599.869187,83.85116634,80.7368316,0
2806.090714,85.24859594,83.85116634,0
5167.153096,84.29367007,85.24859594,0
2039.885711,88.94416175,84.29367007,0
2418.097243,89.31409873,88.94416175,-1
1494.209067,90.15729718,89.31409873,-1
5147.172351,91.80059164,90.15729718,-1
2888.812203,78.8277878,91.80059164,0
1585.773775,79.14286899,78.8277878,0
2570.813331,81.7246522,79.14286899,0
1078.171422,72.50590013,81.7246522,0
1076.426045,72.61824306,72.50590013,0
2988.935099,70.67123266,72.61824306,0
3216.159941,58.10563552,70.67123266,0
1696.216905,61.82646465,58.10563552,0
1101.407248,63.59293878,61.82646465,0
920.7449554,62.89516709,63.59293878,0
907.9508945,61.74196878,62.89516709,0
1596.845665,62.50129374,61.74196878,0
1990.972241,64.6620364,62.50129374,0
1442.70616,66.47125445,64.6620364,0
4999.613512,67.97899596,66.47125445,0
1746.956306,76.91672727,67.97899596,0
1853.151187,77.6868509,76.91672727,0
2154.633706,77.83313544,77.6868509,0
3348.862117,78.6878864,77.83313544,0
2711.122462,83.25321829,78.6878864,0
1640.922448,83.43257261,83.25321829,0
4378.379596,84.11036167,83.43257261,0
1318.80574,64.87056615,84.11036167,0
1804.759587,64.92015127,64.87056615,0
2369.35142,66.51230854,64.92015127,0
2498.109857,69.40488296,66.51230854,0
1882.056461,65.23143606,69.40488296,0
757.0874491,60.59496512,65.23143606,0
611.3557015,62.24407105,60.59496512,0
1137.945254,65.03388382,62.24407105,0
2779.167898,64.80315957,65.03388382,0
2452.856317,69.85127326,64.80315957,0
1017.823406,61.43882969,69.85127326,0
923.7958064,56.94737498,61.43882969,0
719.8350235,59.09432098,56.94737498,0
779.9268427,59.26101387,59.09432098,0
1185.984121,63.2645066,59.26101387,0
831.5354113,59.67746595,63.2645066,0
896.456739,62.16513125,59.67746595,0
760.4637316,59.04404765,62.16513125,0
1161.999646,59.39981907,59.04404765,0
2786.563054,52.09942293,59.39981907,0
1771.750946,48.16488583,52.09942293,0
2451.573817,45.55561605,48.16488583,0
9331.817306,34.93523875,45.55561605,1
3003.327883,38.4896869,34.93523875,0
1787.790822,37.90334648,38.4896869,0
5157.862104,27.77490367,37.90334648,0
4293.267716,29.37152614,27.77490367,1
2556.339698,26.66468869,29.37152614,1
1964.357393,32.71945641,26.66468869,0
1558.317415,30.98365355,32.71945641,0
974.7917483,37.58942088,30.98365355,0
1794.884266,35.27536596,37.58942088,0
4688.354512,32.76226844,35.27536596,0
4988.733067,27.8497614,32.76226844,1
6289.383874,24.26874783,27.8497614,1
1941.385069,22.73040789,24.26874783,1
1082.267476,23.63698521,22.73040789,0
2624.688674,23.37121596,23.63698521,0
5913.715926,19.67573331,23.37121596,0
2624.05939,37.87741925,19.67573331,0
6112.640889,43.02347239,37.87741925,0
5360.314495,52.32793455,43.02347239,0
1721.60242,55.84341893,52.32793455,0
2892.249348,53.29115164,55.84341893,0
1790.949127,46.88336725,53.29115164,0
1206.707818,50.78809722,46.88336725,0
2186.062194,51.7208893,50.78809722,0
1423.434381,56.37347019,51.7208893,0
467.0281678,56.04528475,56.37347019,0
907.446381,53.78101026,56.04528475,0
1963.286963,54.13757798,53.78101026,0
788.5822158,49.48350874,54.13757798,0
558.0890431,51.22727937,49.48350874,0
683.6177898,49.45618197,51.22727937,0
448.5454899,48.2796783,49.45618197,0
1873.592357,48.5555265,48.2796783,0
1257.346319,41.03660222,48.5555265,0
989.587504,41.02945256,41.03660222,1
1398.818854,42.31384904,41.02945256,0
587.3014699,47.69978386,42.31384904,0
519.0955995,47.5712525,47.69978386,0
1192.76829,44.82421607,47.5712525,0
1460.565426,42.79879106,44.82421607,0
1570.024753,45.60272368,42.79879106,0
1084.449037,50.22238727,45.60272368,0
529.8563866,50.18222436,50.22238727,0
473.4981871,47.97370881,50.18222436,0
1192.174629,48.8680637,47.97370881,0
1160.043338,45.36549847,48.8680637,0
1299.252264,47.04124707,45.36549847,0
1400.808475,46.92426799,47.04124707,0
575.7560682,42.88419247,46.92426799,0
647.464064,43.36400926,42.88419247,1
1059.506372,42.55131374,43.36400926,0
1395.441689,41.27542141,42.55131374,0
1527.384403,44.33897595,41.27542141,0
1167.440095,44.23375993,44.33897595,0
578.6750702,43.02431109,44.23375993,0
907.2337276,44.70192988,43.02431109,0
