close,volbtc,bb_high,bb_mid,bb_low,rsi,close_lag1,bb_low_lag1,bb_mid_lag1,bb_high_lag1,close_lag2,bb_low_lag2,bb_mid_lag2,bb_high_lag2,rsi_lag1,rsi_lag2,signal
577.48,1086.956679,580.9633626,578.17,575.3766374,52.66809548,582,574.4817098,579.6585714,584.835433,576.81,574.3918611,579.6585714,585.9138532,58.17463702,52.92722254,0
580.99,1231.90379,581.702284,578.81,575.917716,56.13999597,577.48,575.3766374,578.17,580.9633626,582,574.4817098,578.17,584.835433,52.66809548,58.17463702,0
583.21,1028.338644,582.7363229,579.9485714,577.16082,58.22707419,580.99,575.917716,578.81,581.702284,577.48,575.3766374,578.81,580.9633626,56.13999597,52.66809548,0
581.7,784.5866677,583.1245377,580.2328571,577.3411766,56.2658659,583.21,577.16082,579.9485714,582.7363229,580.99,575.917716,579.9485714,581.702284,58.22707419,56.13999597,0
580.89,538.6096064,583.3108521,580.44,577.5691479,55.19195733,581.7,577.3411766,580.2328571,583.1245377,583.21,577.16082,580.2328571,582.7363229,56.2658659,58.22707419,0
581.05,492.8071421,583.1741653,581.0457143,578.9172633,55.37314899,580.89,577.5691479,580.44,583.3108521,581.7,577.3411766,580.44,583.1245377,55.19195733,56.2658659,0
577.41,1132.213605,582.9929048,580.39,577.7870952,50.38175772,581.05,578.9172633,581.0457143,583.1741653,580.89,577.5691479,581.0457143,583.3108521,55.37314899,55.19195733,0
578.37,1167.748631,582.9021959,580.5171429,578.1320898,51.62038137,577.41,577.7870952,580.39,582.9929048,581.05,578.9172633,580.39,583.1741653,50.38175772,55.37314899,0
577.46,864.3560377,582.7443664,580.0128571,577.2813478,50.33762104,578.37,578.1320898,580.5171429,582.9021959,577.41,577.7870952,580.5171429,582.9929048,51.62038137,50.38175772,0
577.71,859.319864,581.5141372,579.2271429,576.9401485,50.70007584,577.46,577.2813478,580.0128571,582.7443664,578.37,578.1320898,580.0128571,582.9021959,50.33762104,51.62038137,0
578.28,635.9803974,580.6272684,578.7385714,576.8498745,51.56799313,577.71,576.9401485,579.2271429,581.5141372,577.46,577.2813478,579.2271429,582.7443664,50.70007584,50.33762104,0
576.99,545.0700896,579.8133806,578.1814286,576.5494765,49.44638032,578.28,576.8498745,578.7385714,580.6272684,577.71,576.9401485,578.7385714,581.5141372,51.56799313,50.70007584,0
577.29,784.6674495,578.261433,577.6442857,577.0271384,49.96196778,576.99,576.5494765,578.1814286,579.8133806,578.28,576.8498745,578.1814286,580.6272684,49.44638032,51.56799313,0
579.27,1064.863287,578.851478,577.91,576.968522,53.34406153,577.29,577.0271384,577.6442857,578.261433,576.99,576.5494765,577.6442857,579.8133806,49.96196778,49.44638032,0
580.31,1791.523389,579.6349403,578.1871429,576.7393454,55.06216912,579.27,576.968522,577.91,578.851478,577.29,577.0271384,577.91,578.261433,53.34406153,49.96196778,0
585.31,1185.784184,582.7859295,579.3085714,575.8312134,62.2581216,580.31,576.7393454,578.1871429,579.6349403,579.27,576.968522,578.1871429,578.851478,55.06216912,53.34406153,0
586,584.4917326,584.9554574,580.4928571,576.0302569,63.13542376,585.31,575.8312134,579.3085714,582.7859295,580.31,576.7393454,579.3085714,579.6349403,62.2581216,55.06216912,0
585.31,499.5550002,586.2542838,581.4971429,576.7400019,61.59356113,586,576.0302569,580.4928571,584.9554574,585.31,575.8312134,580.4928571,582.7859295,63.13542376,62.2581216,0
586.93,592.9953392,587.5479315,582.9171429,578.2863543,63.82716299,585.31,576.7400019,581.4971429,586.2542838,586,576.0302569,581.4971429,584.9554574,61.59356113,63.13542376,0
586.94,809.462499,588.102916,584.2957143,580.4885125,63.84114231,586.93,578.2863543,582.9171429,587.5479315,585.31,576.7400019,582.9171429,586.2542838,63.82716299,61.59356113,0
609.5,1932.163029,600.0268745,588.6142857,577.2016969,81.35100484,586.94,580.4885125,584.2957143,588.102916,586.93,578.2863543,584.2957143,587.5479315,63.84114231,63.82716299,0
635.97,3588.302958,619.9786662,596.5657143,573.1527624,88.43029638,609.5,577.2016969,588.6142857,600.0268745,586.94,580.4885125,588.6142857,588.102916,81.35100484,63.84114231,0
629.8,2226.301736,629.6791168,602.9214286,576.1637403,80.7368316,635.97,573.1527624,596.5657143,619.9786662,609.5,577.2016969,596.5657143,600.0268745,88.43029638,81.35100484,-1
642.5,1601.61778,641.2407239,610.9928571,580.7449904,83.85116634,629.8,576.1637403,602.9214286,629.6791168,635.97,573.1527624,602.9214286,619.9786662,80.7368316,88.43029638,0
649.41,2599.869187,651.2995068,620.15,589.0004932,85.24859594,642.5,580.7449904,610.9928571,641.2407239,629.8,576.1637403,610.9928571,629.6791168,83.85116634,80.7368316,0
648.57,2806.090714,656.6652108,628.9557143,601.2462178,84.29367007,649.41,589.0004932,620.15,651.2995068,642.5,580.7449904,620.15,641.2407239,85.24859594,83.85116634,0
677.86,5167.153096,667.1219944,641.9442857,616.7665771,88.94416175,648.57,601.2462178,628.9557143,656.6652108,649.41,589.0004932,628.9557143,651.2995068,84.29367007,85.24859594,0
681.04,2039.885711,676.0866886,652.1642857,628.2418828,89.31409873,677.86,616.7665771,641.9442857,667.1219944,648.57,601.2462178,641.9442857,656.6652108,88.94416175,84.29367007,0
688.6,2418.097243,686.7742375,659.6828571,632.5914767,90.15729718,681.04,628.2418828,652.1642857,676.0866886,677.86,616.7665771,652.1642857,667.1219944,89.31409873,88.94416175,-1
706.43,1494.209067,699.671591,670.63,641.588409,91.80059164,688.6,632.5914767,659.6828571,686.7742375,681.04,628.2418828,659.6828571,676.0866886,90.15729718,89.31409873,-1
690.11,5147.172351,703.2347014,677.4314286,651.6281558,78.8277878,706.43,641.588409,670.63,699.671591,688.6,632.5914767,670.63,686.7742375,91.80059164,90.15729718,-1
691.73,2888.812203,705.0138164,683.4771429,661.9404693,79.14286899,690.11,651.6281558,677.4314286,703.2347014,706.43,641.588409,677.4314286,699.671591,78.8277878,91.80059164,0
706.01,1585.773775,705.0406985,691.6828571,678.3250158,81.7246522,691.73,661.9404693,683.4771429,705.0138164,690.11,651.6281558,683.4771429,703.2347014,79.14286899,78.8277878,0
692.39,2570.813331,704.9452172,693.7585714,682.5719256,72.50590013,706.01,678.3250158,691.6828571,705.0406985,691.73,661.9404693,691.6828571,705.0138164,81.7246522,79.14286899,0
692.85,1078.171422,704.4721122,695.4457143,686.4193164,72.61824306,692.39,682.5719256,693.7585714,704.9452172,706.01,678.3250158,693.7585714,705.0406985,72.50590013,81.7246522,0
689.97,1076.426045,704.4355018,695.6414286,686.8473553,70.67123266,692.85,686.4193164,695.4457143,704.4721122,692.39,682.5719256,695.4457143,704.9452172,72.61824306,72.50590013,0
668.4,2988.935099,703.5695658,690.2085714,676.8475771,58.10563552,689.97,686.8473553,695.6414286,704.4355018,692.85,686.4193164,695.6414286,704.4721122,70.67123266,72.61824306,0
679.38,3216.159941,702.9183382,688.6757143,674.4330904,61.82646465,668.4,676.8475771,690.2085714,703.5695658,689.97,686.8473553,690.2085714,704.4355018,58.10563552,70.67123266,0
684.95,1696.216905,701.9326814,687.7071429,673.4816043,63.59293878,679.38,674.4330904,688.6757143,702.9183382,668.4,676.8475771,688.6757143,703.5695658,61.82646465,58.10563552,0
683.71,1101.407248,694.9230916,684.5214286,674.1197656,62.89516709,684.95,673.4816043,687.7071429,701.9326814,679.38,674.4330904,687.7071429,702.9183382,63.59293878,61.82646465,0
681.75,920.7449554,692.5511132,683.0014286,673.4517439,61.74196878,683.71,674.1197656,684.5214286,694.9230916,684.95,673.4816043,684.5214286,701.9326814,62.89516709,63.59293878,0
