close,volbtc,bb_up,bb_mid,bb_low,rsi,close_lag1,bb_low_lag1,bb_up_lag1,close_lag2,bb_low_lag2,bb_up_lag2,rsi_lag1,bb_sig
1163.01,920.1052558,1159.937896,1129.408571,1098.879247,72.75667638,1139.89,1089.161743,1148.121114,1120.32,1083.746301,1140.707985,69.35791816,0
1167.4,1315.776387,1170.289263,1133.751429,1097.213594,73.3608799,1163.01,1098.879247,1159.937896,1139.89,1089.161743,1148.121114,72.75667638,0
1074.33,2337.884867,1174.80628,1126.567143,1078.328005,48.70100144,1167.4,1097.213594,1170.289263,1163.01,1098.879247,1159.937896,73.3608799,0
1100.99,858.1237822,1174.071285,1128.034286,1081.997286,53.52071224,1074.33,1078.328005,1174.80628,1167.4,1097.213594,1170.289263,48.70100144,0
970,4065.932195,1199.820391,1105.134286,1010.448181,35.74874313,1100.99,1081.997286,1174.071285,1074.33,1078.328005,1174.80628,53.52071224,0
995.49,2147.535475,1197.028285,1087.301429,977.5745717,39.92892742,970,1010.448181,1199.820391,1100.99,1081.997286,1174.071285,35.74874313,0
976.97,2121.44888,1181.691937,1064.027143,946.3623489,37.99476308,995.49,977.5745717,1197.028285,970,1010.448181,1199.820391,39.92892742,0
970.22,1408.38252,1145.194411,1036.485714,927.7770172,37.28584317,976.97,946.3623489,1181.691937,995.49,977.5745717,1197.028285,37.99476308,0
969.87,1024.988973,1085.361255,1008.267143,931.1730302,37.24703581,970.22,927.7770172,1145.194411,976.97,946.3623489,1181.691937,37.28584317,0
1007,1792.238343,1064.474434,998.6485714,932.8227089,43.91589454,969.87,931.1730302,1085.361255,970.22,927.7770172,1145.194411,37.24703581,0
1020.43,744.128191,1015.792491,987.14,958.4875095,46.14523873,1007,932.8227089,1064.474434,969.87,931.1730302,1085.361255,43.91589454,0
982,1365.558056,1015.843466,988.8542857,961.8651059,41.10954765,1020.43,958.4875095,1015.792491,1007,932.8227089,1064.474434,46.14523873,0
982.38,559.0106224,1013.811328,986.9814286,960.1515294,41.17790269,982,961.8651059,1015.843466,1020.43,958.4875095,1015.792491,41.10954765,0
983.06,419.4272005,1014.135776,987.8514286,961.5670815,41.30918489,982.38,960.1515294,1013.811328,982,961.8651059,1015.843466,41.17790269,0
933.26,1660.20084,1021.122019,982.5714286,944.0208379,35.12615851,983.06,961.5670815,1014.135776,982.38,960.1515294,1013.811328,41.30918489,0
894.93,1660.713103,1032.242156,971.8657143,911.4892724,31.24922872,933.26,944.0208379,1021.122019,983.06,961.5670815,1014.135776,35.12615851,0
906,1578.024429,1022.048097,957.4371429,892.8261891,33.53098882,894.93,911.4892724,1032.242156,933.26,944.0208379,1021.122019,31.24922872,1
917.13,1432.200501,996.8218393,942.68,888.5381607,35.83673291,906,892.8261891,1022.048097,894.93,911.4892724,1032.242156,33.53098882,0
916.08,1177.896167,982.8842672,933.2628571,883.6414471,35.71087769,917.13,888.5381607,996.8218393,906,892.8261891,1022.048097,35.83673291,0
893.52,1632.040946,963.3699574,920.5685714,877.7671854,33.02709314,916.08,883.6414471,982.8842672,917.13,888.5381607,996.8218393,35.71087769,0
899.47,1166.297756,928.6011666,908.6271429,888.6531191,34.42679673,893.52,877.7671854,963.3699574,916.08,883.6414471,982.8842672,33.02709314,0
895.71,958.1616703,917.1485377,903.2628571,889.3771766,33.94400966,899.47,888.6531191,928.6011666,893.52,877.7671854,963.3699574,34.42679673,0
878,818.0266089,919.8829688,900.8442857,881.8056026,31.68980189,895.71,889.3771766,917.1485377,899.47,888.6531191,928.6011666,33.94400966,0
836.75,3157.140081,929.0850949,890.9514286,852.8177623,27.16472299,878,881.8056026,919.8829688,895.71,889.3771766,917.1485377,31.68980189,1
831.36,1363.435372,923.8376347,878.6985714,833.5595081,26.62963966,836.75,852.8177623,929.0850949,878,881.8056026,919.8829688,27.16472299,1
843,509.226332,910.124657,868.2585714,826.3924859,29.8435421,831.36,833.5595081,923.8376347,836.75,852.8177623,929.0850949,26.62963966,1
897.51,723.9899063,911.5128875,868.8285714,826.1442554,42.53767681,843,826.3924859,910.124657,831.36,833.5595081,923.8376347,29.8435421,0
879.26,367.1863709,905.1381572,865.9414286,826.7446999,39.93252188,897.51,826.1442554,911.5128875,843,826.3924859,910.124657,42.53767681,0
880.36,569.7585193,899.9086036,863.7485714,827.5885392,40.17036502,879.26,826.7446999,905.1381572,897.51,826.1442554,911.5128875,39.93252188,0
891.99,526.5869413,904.3430242,865.7471429,827.1512616,42.75136552,880.36,827.5885392,899.9086036,879.26,826.7446999,905.1381572,40.17036502,0
905.98,1209.041781,914.6190304,875.6371429,836.6552553,45.78136794,891.99,827.1512616,904.3430242,880.36,827.5885392,899.9086036,42.75136552,0
897.04,761.2175586,913.9784736,885.02,856.0615264,44.17245027,905.98,836.6552553,914.6190304,891.99,827.1512616,904.3430242,45.78136794,0
897.79,516.9197762,906.4715688,892.8471429,879.2227169,44.3491457,897.04,856.0615264,913.9784736,905.98,836.6552553,914.6190304,44.17245027,0
909,697.3493409,910.502307,894.4885714,878.4748358,47.04686916,897.79,879.2227169,906.4715688,897.04,856.0615264,913.9784736,44.3491457,0
905.99,429.8439934,912.1494175,898.3071429,884.4648682,46.39650526,909,878.4748358,910.502307,897.79,879.2227169,906.4715688,47.04686916,0
932.19,751.0329148,923.9799567,905.7114286,887.4429004,52.54573138,905.99,884.4648682,912.1494175,909,878.4748358,910.502307,46.39650526,0
944.2,779.0443433,938.1541521,913.17,888.1858479,55.08907898,932.19,887.4429004,923.9799567,905.99,884.4648682,912.1494175,52.54573138,0
929.95,460.829073,942.5117023,916.5942857,890.6768691,51.55818562,944.2,888.1858479,938.1541521,932.19,887.4429004,923.9799567,55.08907898,0
936.99,214.8933718,946.9840439,922.3014286,897.6188133,53.1556059,929.95,890.6768691,942.5117023,944.2,888.1858479,938.1541521,51.55818562,0
915.09,189.795412,945.2444679,924.7728571,904.3012464,47.86754897,936.99,897.6188133,946.9840439,929.95,890.6768691,942.5117023,53.1556059,0
927.52,257.5301824,945.468421,927.4185714,909.3687218,50.85589041,915.09,904.3012464,945.2444679,936.99,897.6188133,946.9840439,47.86754897,0
918.6,499.7312439,943.2163332,929.22,915.2236668,48.6985603,927.52,909.3687218,945.468421,915.09,904.3012464,945.2444679,50.85589041,0
914,650.1508107,942.5062382,926.6214286,910.7366189,47.5776875,918.6,915.2236668,943.2163332,927.52,909.3687218,945.468421,48.6985603,0
913.69,287.5438688,935.0694987,922.2628571,909.4562156,47.49834475,914,910.7366189,942.5062382,918.6,915.2236668,943.2163332,47.5776875,0
919.78,393.5462659,932.736791,920.81,908.883209,49.28754448,913.69,909.4562156,935.0694987,914,910.7366189,942.5062382,47.49834475,0
923.33,535.7761442,926.0400629,918.8585714,911.6770799,50.34973672,919.78,908.883209,932.736791,913.69,909.4562156,935.0694987,49.28754448,0
891.14,843.4836292,931.7965347,915.4371429,899.077751,41.80017431,923.33,911.6770799,926.0400629,919.78,908.883209,932.736791,50.34973672,0
898.84,463.6389614,927.8165034,911.34,894.8634966,44.23927391,891.14,899.077751,931.7965347,923.33,911.6770799,926.0400629,41.80017431,0
901.02,459.866968,925.3988757,908.8285714,892.2582671,44.94278755,898.84,894.8634966,927.8165034,891.14,899.077751,931.7965347,44.23927391,0
891.77,221.142343,924.0055478,905.6528571,887.3001665,42.49298403,901.02,892.2582671,925.3988757,898.84,894.8634966,927.8165034,44.94278755,0
890.09,287.4442152,921.4734706,902.2814286,883.0893865,42.04471893,891.77,887.3001665,924.0055478,901.02,892.2582671,925.3988757,42.49298403,0
908,559.1023456,917.1530997,900.5985714,884.0440432,48.30555804,890.09,883.0893865,921.4734706,891.77,887.3001665,924.0055478,42.04471893,0
903.5,321.4919112,907.3893299,897.7657143,888.1420987,46.93364856,908,884.0440432,917.1530997,890.09,883.0893865,921.4734706,48.30555804,0
901.59,380.0146183,908.1010698,899.2585714,890.4160731,46.33217495,903.5,888.1420987,907.3893299,908,884.0440432,917.1530997,46.93364856,0
894.91,616.4239543,907.8351129,898.6971429,889.5591728,44.19878442,901.59,890.4160731,908.1010698,903.5,888.1420987,907.3893299,46.33217495,0
895,579.7500129,907.0294026,897.8371429,888.6448831,44.23604006,894.91,889.5591728,907.8351129,901.59,890.4160731,908.1010698,44.19878442,0
902,476.3438218,907.8677283,899.2985714,890.7294146,47.18935678,895,888.6448831,907.0294026,894.91,889.5591728,907.8351129,44.23604006,0
902.66,759.3263781,907.617366,901.0942857,894.5712054,47.47183128,902,890.7294146,907.8677283,895,888.6448831,907.0294026,47.18935678,0
910.52,626.3418452,908.9032745,901.4542857,894.0052969,50.84391523,902.66,894.5712054,907.617366,902,890.7294146,907.8677283,47.47183128,0
906.95,510.9374788,909.9035111,901.9471429,893.9907746,49.29599662,910.52,894.0052969,908.9032745,902.66,894.5712054,907.617366,50.84391523,0
900.42,464.7982777,909.7768471,901.78,893.7831529,46.50694473,906.95,893.9907746,909.9035111,910.52,894.0052969,908.9032745,49.29599662,0
